date,code,rank,brand,product,price,like
20260323,2301047,1,오쏘몰,"""독일 명품 비타민"" 오쏘몰 이뮨 멀티비타민&미네랄 7입 - 단독 기프트박스 증정 (공식수입)",34000,170000
20260323,7608679,2,옵티젠,"""한국인 맞춤 비타민"" 옵티젠 이뮨 멀티비타민&미네랄 10입 / 1박스",29900,50000
20260323,556025,3,정관장,"""면역력 선물"" [정관장] 에브리타임 레귤러 (10ml x 30포) _ 대한민국 명품 홍삼정농축액 함유",69000,40000
20260323,2484405,4,오쏘몰,"""독일 명품 비타민"" 오쏘몰 이뮨 멀티비타민&미네랄 30+1입 - 시그니처 기프트 에디션 (공식수입)",109000,40000
20260323,11866425,5,오쏘몰,"""독일 명품 비타민"" 오쏘몰 이뮨 멀티비타민&미네랄 10입(7+3) - 스페셜 기프트 에디션 (공식수입)",45000,6976
20260323,3252731,6,고려은단,"""고함량 비타민C"" 고려은단 메가도스C 3000 100포 / 분말비타민C",24900,10000
20260323,7066484,7,정관장,"""에너지선물"" [정관장] 활기력 에너지박스 (20ml x 20병)",39900,30000
20260323,12725471,8,로트벡쉔,"""독일 대표 브랜드"" 로트벡쉔 이뮨샷 올인원 비타민 플러스 1박스(10병) 2종 택1 + 에코백 증정 면역 + 멀티비타민",46000,565
20260323,7320451,10,센트룸,[센트룸] 맛있는 멀티비타민 미네랄 멀티구미 (80구미),24000,50000
20260323,10056171,11,뉴트리포유,"""명품 비타민"" 뉴트리포유 듀얼+ 이뮨 종합 멀티비타민&미네랄 7입+2입 증정 - 선물하기 단독 에디션",19900,20000
20260323,7044096,12,고려은단,"""최고심 유리컵 증정"" 고려은단 메가도스 이뮨샷 최고심 에디션 (20개입)+유리컵 증정 / 멀티비타민 아미노산 아르기닌",37900,20000
20260323,12159594,13,정관장,"""신상비타민선물"" [정관장] 활기마이트(액상30ml+분말500mg) 7입 + [증정]  러쉬 바디숍",35000,3911
20260323,12805409,14,옵티젠,"""간건강+스트레스 피로개선""옵티젠 바이탈 밀크씨슬&비타민(B,C,D,E)or리프레쉬 마그네슘&징코플러스 10입_",29900,10000
