date,code,rank,brand,product,price,star,review
20260419,82081965637,1,종근당건강,"종근당건강 프로메가 오메가3 트리플, 60정, 1개",10250,5,129823
20260419,3000235591,2,고려은단,"고려은단 비타민C 1000 + 쇼핑백, 180정, 1개",17800,5,272741
20260419,3549112936,3,종근당,"종근당 칼슘 앤 마그네슘 비타민D 아연, 180정, 1개",13860,5,174673
20260419,4637889550,4,락토핏,"락토핏 정품 골드 80포, 160g, 1개",18500,5,212125
20260419,70393847331,5,나우푸드,"나우푸드 마그네슘 글리시네이트 타블렛, 180정, 1개",24860,5,11046
20260419,86014198724,6,뉴케어,"뉴케어 구수한맛 미니 완전균형영양식, 150ml, 24개",29400,5,95021
20260419,85873889893,7,덴프스,"덴프스 정품 덴마크 유산균이야기, 30정, 2개",26700,5,64835
20260419,84995746459,8,고려은단,"고려은단 비타민C 1000 + 쇼핑백, 180정, 4개",50480,5,272741
20260419,85387691552,9,메가도스,"메가도스 비타민C 3000mg, 180g, 1개",17900,5,56268
20260419,3179568952,10,[Jarrow,"[Jarrow Formulas] 자로우 포뮬러스 도피러스 EPS 유산균 100억 CFU, 120정, 1개",32750,5,44929
20260419,91597791472,11,종근당건강,"종근당건강 알티지 오메가3 듀얼, 60정, 3개",27070,5,112848
20260419,3180741512,12,나우푸드,"나우푸드 실리마린 밀크 시슬 추출물 300mg 베지 캡슐, 200정, 1개",27340,5,65830
20260419,4442233327,13,동화약품,"동화약품 부채표 까스활 소화제, 75ml, 20개",15300,5,76782
20260419,90822727624,14,WHOLELIFE,"WHOLELIFE 유기농 레몬즙 14p, 280g, 1개",4700,4.5,15699
20260419,86203376145,15,프로메가,"프로메가 오메가3 트리플 39.24g, 60정, 3개",29540,5,129823
20260419,93308703427,16,식물성,"식물성 멜라토닌 1일 2mg 함유 멜라 테아닌 나잇 식약청인증 HACCP 자주가게, 1개, 60정",13300,5,29092
20260419,77582829254,17,아이클리어,"아이클리어 루테인지아잔틴, 30정, 3개",24270,5,173060
20260419,3000177635,18,바이탈프로그램,"바이탈프로그램 정품 비타민C 1000mg, 600정, 1개",26500,5,64898
20260419,4443055448,19,종근당,"종근당 칼슘 앤 마그네슘 비타민D 아연, 180정, 2개",27610,5,174673
20260419,84581594329,20,주영앤에스,"주영앤에스 관절엔 콘드로이친1200, 60정, 1개",59680,5,37331
20260419,92919109374,21,해태htb,"해태htb 영진 구론산 오리지날액 선물세트, 150ml, 20개",12100,5,37419
20260419,83397339509,22,락토핏,"락토핏 생유산균 키즈, 60회분, 120g, 1개",12490,5,67415
20260419,84850259540,23,삼대오백,"삼대오백 크레아틴 모노 하이드레이트, 300g, 1개",17900,5,3234
20260419,3028473540,24,그린몬스터,"그린몬스터 다이어트 스페셜 2 가르시니아 900, 112정, 1개",12700,4.5,45338
20260419,71804982776,25,뉴케어,"뉴케어 정품 구수한맛 순, 200ml, 24개",42840,5,36947
20260419,89927383905,26,뉴케어,"뉴케어 구수한맛 미니 완전균형영양식, 150ml, 48개",56220,5,95021
20260419,70421267948,27,루솔,"루솔 진한 배도라지즙, 100ml, 20개",17510,5,5512
