date,code,rank,brand,product,price,star,review,url,period_ym
20260426,3549112936,1,종근당,"종근당 칼슘 앤 마그네슘 비타민D 아연, 180정, 1개",13860,5,175758,https://www.coupang.com/vp/products/5545887952,202604
20260426,91813740794,2,락토핏,"락토핏 정품 골드 80포, 160g, 1개",28900,5,213089,https://www.coupang.com/vp/products/7458810098,202604
20260426,70393847331,3,나우푸드,"나우푸드 마그네슘 글리시네이트 타블렛, 180정, 1개",24780,5,11499,https://www.coupang.com/vp/products/1366689007,202604
20260426,84995746459,4,고려은단,"고려은단 비타민C 1000 + 쇼핑백, 180정, 4개",50480,5,274050,https://www.coupang.com/vp/products/9334963084,202604
20260426,4765824657,5,스포츠리서치,"스포츠리서치 1040mg 오메가-3 피쉬 오일 트리플 스트렝스 소프트젤, 180정, 1개",51070,5,75349,https://www.coupang.com/vp/products/6854281548,202604
20260426,85387691552,6,메가도스,"메가도스 비타민C 3000mg, 180g, 1개",17900,5,57085,https://www.coupang.com/vp/products/46208003,202604
20260426,86471114943,7,그레인온,"그레인온 골드 카무트 브랜드밀 효소, 90g, 6개",79800,4.5,43334,https://www.coupang.com/vp/products/8642168040,202604
20260426,85873889893,8,덴프스,"덴프스 정품 덴마크 유산균이야기, 30정, 2개",26400,5,65551,https://www.coupang.com/vp/products/6063894601,202604
20260426,3179568952,9,[Jarrow,"[Jarrow Formulas] 자로우 포뮬러스 도피러스 EPS 유산균 100억 CFU, 120정, 1개",32370,5,45287,https://www.coupang.com/vp/products/7626263931,202604
20260426,86203376145,10,프로메가,"프로메가 오메가3 트리플 39.24g, 60정, 3개",27830,5,131237,https://www.coupang.com/vp/products/6586372374,202604
20260426,4442233327,11,동화약품,"동화약품 부채표 까스활 소화제, 75ml, 20개",15190,5,77198,https://www.coupang.com/vp/products/7299647635,202604
20260426,90822727624,12,WHOLELIFE,"WHOLELIFE 유기농 레몬즙 14p, 280g, 1개",4700,4.5,16029,https://www.coupang.com/vp/products/8087904288,202604
20260426,3161168955,13,재로우,"재로우 우먼 펨-도필러스 유산균 10억 베지테리안 캡슐, 60정, 1개",30800,5,80564,https://www.coupang.com/vp/products/8336583914,202604
20260426,95291939925,14,종근당건강,"종근당건강 락토핏 생유산균 골드, 100g, 3개",29200,5,213089,https://www.coupang.com/vp/products/7458810098,202604
20260426,70421267948,15,루솔,"루솔 진한 배도라지즙, 100ml, 20개",17590,5,5581,https://www.coupang.com/vp/products/1391879995,202604
20260426,93030436072,16,골드,"골드 카무트 브랜드밀 효소 식품, 90g, 3개",42450,4.5,43334,https://www.coupang.com/vp/products/8642168040,202604
20260426,94239091049,17,해태htb,"해태htb 영진 구론산 오리지날, 150ml, 20개",11980,5,37481,https://www.coupang.com/vp/products/9192487666,202604
20260426,71804982776,18,뉴케어,"뉴케어 정품 구수한맛 순, 200ml, 24개",41340,5,37307,https://www.coupang.com/vp/products/7537937892,202604
20260426,91994723799,19,뉴케어,"뉴케어 올프로틴 고소한맛, 245ml, 24개",36410,5,5691,https://www.coupang.com/vp/products/8391180879,202604
20260426,94501017505,20,센트룸,"센트룸 맨 더블업 비타민 82.8g, 60정, 1개",27200,5,13221,https://www.coupang.com/vp/products/9335232293,202604
20260426,3086574774,21,나우푸드,"나우푸드 아연 50mg, 250정, 1개",13620,5,22428,https://www.coupang.com/vp/products/6395389697,202604
20260426,85478407445,22,메가도스,"메가도스 D 비타민D3 4000IU, 90정, 1개",9900,5,11029,https://www.coupang.com/vp/products/8602489789,202604
20260426,82624430136,23,테이크핏,"테이크핏 맥스 초코맛 프로틴, 250ml, 24개",32180,5,4062,https://www.coupang.com/vp/products/7923580560,202604
20260426,84998527579,24,박카스,"박카스 에프액, 120ml, 30개",20110,5,102378,https://www.coupang.com/vp/products/4757199971,202604
20260426,3001142329,25,솔가,"솔가 엽산 400, 100정, 1개",12600,5,24805,https://www.coupang.com/vp/products/7823882369,202604
20260426,92558552680,26,홀베리,"홀베리 유기농 레몬즙, 350g, 3개",29250,4.5,19039,https://www.coupang.com/vp/products/8643253760,202604
20260426,94792440684,27,셀렉스,"셀렉스 프로핏 스포츠 플러스 초콜릿 RTD, 330ml, 12개",24900,5,12136,https://www.coupang.com/vp/products/8288998337,202604
20260426,95283976466,28,비에스엔,"비에스엔 신타-6 프로틴 파우더 드링크 믹스 단백질 보충제 초콜릿 밀크셰이크, 1개, 2.27kg",73850,5,31626,https://www.coupang.com/vp/products/6573832879,202604
20260426,90999700884,29,헬스헬퍼,"헬스헬퍼 맥스컷 프로 영양제 27g, 60정, 1개",20200,5,6980,https://www.coupang.com/vp/products/7381159190,202604
20260426,95004807464,30,올록담,"올록담 올리브3 EVOO 지중해 올리브오일 캡슐, 1박스, 72정",33500,4.5,3273,https://www.coupang.com/vp/products/9427860375,202604
20260426,92041078356,31,그레인온,"그레인온 골드 카무트 브랜드밀 효소, 90g, 4개",54050,4.5,43334,https://www.coupang.com/vp/products/8642168040,202604
20260426,3099469570,32,토레타,"토레타 이온음료, 240ml, 30개",14700,5,17000,https://www.coupang.com/vp/products/9396277466,202604
20260426,93468819858,33,푸드올로지,"푸드올로지 정품 콜레올로지컷 다이어트 유산균, 20정, 1개",27880,4.5,6884,https://www.coupang.com/vp/products/8289138525,202604
20260426,85740401140,34,그레인온,"그레인온 골드 카무트 브랜드밀 효소, 90g, 2개",27260,4.5,43334,https://www.coupang.com/vp/products/8642168040,202604
20260426,70675659152,35,티오피,"티오피 더 블랙 커피, 275ml, 24개, 24개",23000,5,26319,https://www.coupang.com/vp/products/6758142182,202604
20260426,92460771934,36,헬스헬퍼,"헬스헬퍼 맥스컷 프로, 120정, 54g, 1개",33880,5,6980,https://www.coupang.com/vp/products/7381159190,202604
20260426,92550954839,37,쏜리서치,"쏜리서치 베이직 뉴트리언트 2 데이 캡슐, 60정, 1개",39140,5,8362,https://www.coupang.com/vp/products/6082733474,202604
20260426,95283454226,38,종근당건강,"종근당건강 알티지 오메가3 듀얼, 60정, 1개",9650,5,113469,https://www.coupang.com/vp/products/5449810685,202604
20260426,3006347663,39,솔가,"솔가 철분 25, 90정, 1개",24400,5,23143,https://www.coupang.com/vp/products/1181654,202604
20260426,75189722199,40,센트룸,"센트룸 정품 멀티 구미 비타민, 80정, 1개",20340,5,44898,https://www.coupang.com/vp/products/6444223952,202604
20260426,90143051078,41,아이클리어,"아이클리어 루테인 지아잔틴 아스타잔틴, 30정, 3개",29520,5,10467,https://www.coupang.com/vp/products/8713476265,202604
20260426,85023806746,42,락토핏,"락토핏 생유산균 코어, 120g, 1개",12200,5,78821,https://www.coupang.com/vp/products/5498533952,202604
20260426,90979194031,43,니프젠,"니프젠 스파이크 프리미엄 600mg, 30정, 1개",31830,4.5,7193,https://www.coupang.com/vp/products/8133407448,202604
20260426,78043109812,44,차일드라이프,"차일드라이프 액상 칼슘 마그네슘 오렌지맛, 473ml, 1개",26800,5,19405,https://www.coupang.com/vp/products/7434759210,202604
20260426,93953395557,45,뉴트리정,"뉴트리정 식물성 멜라토닌 5mg 함유 식약처 HACCP 인증, 1개, 120정",22900,5,2342,https://www.coupang.com/vp/products/9161001505,202604
20260426,91547815465,46,잠백이,"잠백이 저스트 크레아틴, 300g, 1개",13900,5,1351,https://www.coupang.com/vp/products/8474008747,202604
20260426,70421255509,47,고려은단,"고려은단 비타민C 1000 + 쇼핑백, 180정, 1개",17400,5,15243,https://www.coupang.com/vp/products/1391867307,202604
20260426,94199247364,48,솔티스,"솔티스 간 프로텍션 쉬잔세틴, 20정, 1박스",17900,4.5,17864,https://www.coupang.com/vp/products/8984250597,202604
20260426,3000272073,49,박카스,"박카스 에프액, 120ml, 10개",7830,5,102378,https://www.coupang.com/vp/products/4757199971,202604
20260426,3000085957,50,뉴트리디데이,"뉴트리디데이 프리미엄 오메가3 골드 1100, 90정, 1개",16620,5,63908,https://www.coupang.com/vp/products/7821106059,202604
20260426,81540022093,51,"비타500,","비타500, 100ml, 50개",26440,5,10457,https://www.coupang.com/vp/products/8179918442,202604
20260426,93687882704,52,99바이탈,"99바이탈 활력 비타민B 컴플렉스, 1개, 360정",9900,5,2475,https://www.coupang.com/vp/products/8936239398,202604
20260426,93687939339,53,99바이탈,"99바이탈 건강한 간 밀크씨슬, 1개, 150정",9900,5,2303,https://www.coupang.com/vp/products/8936210249,202604
