date,code,rank,brand,product,price,like,img_url
20260419,2301047,1,오쏘몰,독일 명품 비타민 오쏘몰 이뮨 멀티비타민&미네랄 7입 + 오쏘몰 1입 추가증정 (공식수입),34000,170000,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260409141244_d864e808822041e39f93cf0934994e7a.jpg
20260419,7608679,2,옵티젠,한국인 맞춤 비타민 옵티젠 이뮨 멀티비타민&미네랄 10입 / 1박스,29900,50000,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260319090748_363d63a1a71e40f68adb7363ad9c3576.jpg
20260419,11866425,3,오쏘몰,독일 명품 비타민 오쏘몰 이뮨 멀티비타민&미네랄 10입 (공식수입),45000,7876,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260417113635_b9ff21567c4b4d698ca6d04778c68ea1.jpg
20260419,556025,4,정관장,면역력 선물 [정관장] 에브리타임 레귤러 (10ml x 30포),62500,40000,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260407101114_fce9f8f9d9284454a04af3bc04f29cc0.jpg
20260419,2484405,5,오쏘몰,독일 명품 비타민 오쏘몰 이뮨 멀티비타민&미네랄 30입 + 오쏘몰 1입 추가증정 - 시그니처 기프트 에디션 (공식수입),109000,40000,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260409141422_915974c6c87d4b3096a364cb24ae1298.jpg
20260419,7066484,6,정관장,에너지선물 [정관장] 활기력 에너지박스 (20ml x 20병),39900,30000,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20251229091939_791c223811644c668143bf9605284b3f.jpg
20260419,7320451,7,센트룸,[센트룸] 맛있는 멀티비타민 미네랄 멀티구미 (80구미),24000,50000,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260331182647_376cf979d98b4eae9afe483f3f327ff0.jpg
20260419,10056171,8,뉴트리포유,명품 비타민 뉴트리포유 듀얼+ 이뮨 종합 멀티비타민&미네랄 7입+2입 증정 - 선물하기 단독 에디션,19900,20000,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260219100848_1c2cc8073bd44eaab9f09d6b8fb8f34c.jpg
20260419,2941722,9,정관장,에너지선물 [정관장] 활기력 맥스 에너지박스 (20ml x 16병),39900,20000,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260407092347_60d053b39bf74f5e8045075415e1f178.jpg
20260419,12159594,10,정관장,신상비타민선물 [정관장] 활기마이트(액상30ml+분말500mg) 7병,35000,4663,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260417163622_d95dcbe64d474fbeb7d2107af75e8dca.jpg
20260419,6371333,11,정관장,"[정관장] 활기력부스터 박스 (400mg x 20정 + 20ml x 20병,이중복합제형)",53500,10000,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260223095433_f050371f3bc241d6a58c9821685a20c7.jpg
20260419,8254873,12,정관장,[정관장] 에브리타임 샷 (20ml x 30병) _ 대한민국 명품 홍삼정농축액 함유,80500,10000,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260105094425_72406ce9ef8b401888170de35dc0d5e4.jpg
20260419,7948462,13,종근당,올인원 명품비타민 이뮨 멀티비타민 미네랄 7+2입 마시는 액상 종합 비타민 수험생 직장인 부모님 건강 선물,23800,30000,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260316095200_12825b61f01c455382da0957c15121a9.jpg
20260419,12805409,14,옵티젠,"""간건강+스트레스 피로개선""옵티젠 바이탈 밀크씨슬&비타민(B,C,D,E)or리프레쉬 마그네슘&징코플러스 10입_",29900,10000,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260316091305_4b0dd89969c44afcbd6cfae6aa2708da.jpg
20260419,5551542,15,종근당건강,프리미엄 비타민 아임비타 멀티비타민 이뮨샷 1박스(5입),12900,20000,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260212170043_4f105758100541bcafc246005dcfc8e7.jpg
20260419,11495919,16,오쏘몰,독일 명품 비타민 오쏘몰 이뮨 멀티비타민&미네랄 21입 - 시그니처 기프트 에디션 (공식수입),79000,9583,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20250417134407_12e23d0c557e48c08a89986366e63791.jpg
20260419,7044096,17,고려은단,고려은단 메가도스 이뮨샷 최고심 에디션 (20개입) / 멀티비타민 아미노산 아르기닌,39900,20000,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260415140515_754b81e397c04b1f937c1a47a3c08384.jpg
20260419,3812966,18,려원담,"추천GIFT ""활력과 기력이 필요한 당신"" 6년근 홍삼 활기담 홍삼 앰플 30병 (쇼핑백)_건강기능식품",50000,10000,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260309085022_6ee4f6e13bf2453f9ac48c1eba70eac4.jpg
