date,code,rank,brand,product,price,star,review,period_ym
20260405,7999337429,1,그레인온,그레인온 골드 카무트 효소,105000,4.9,87957,202604
20260405,9669821031,2,고려은단몰,"고려은단 식물성 퓨어 알티지 오메가3 60캡슐, 3개 (6개월분)",53900,4.9,93049,202604
20260405,4755872512,3,비에날몰,BNR17 비에날씬 다이어트 유산균 모유유래 체지방감소 3개월 캡슐,297000,4.8,85596,202604
20260405,8950954958,4,덴프스,덴마크 유산균이야기,460000,4.9,99999,202604
20260405,5866524379,5,고려은단몰,"고려은단 메가도스C 비타민C 3000mg X 100포 (300g), 2개",53900,4.9,99999,202604
20260405,7997787940,6,닥터린 공식스토어,[6개입] 닥터린 송중기 철갑상어 콘드로이친 1200 맥스 저분자 뮤코다당단백,234000,4.8,25377,202604
20260405,12058710926,7,GNM 자연의품격,GNM 올리브오일 1000mg 30캡슐 5박스 / 유기농 엑스트라버진 올리브유,65000,4.9,11757,202604
20260405,12168694379,8,식이해법연구소,고체 레몬즙 레모너리 2박스 120정,54500,4.7,1160,202604
20260405,138663861,9,고려은단비타민C,고려은단 비타민C 1000 600정 X 1개 (20개월분),50000,4.9,99999,202604
20260405,8990669497,10,닥터파이토,닥터파이토 덴티백 구강유산균 BLIS M18 프로바이오틱스 프리바이오틱스,180000,4.9,7490,202604
20260405,9914864124,11,뉴트라이트,비에날씬 BNR17 비엔날씬 유산균 BMR17 김희선 다이어트 유산균 60캡슐 1개 보냉백,45800,4.8,1674,202604
20260405,11753835293,12,종근당건강,[+멤버십 10%적립] 종근당건강 락토핏 코어 360 기획세트(360일분),125000,4.9,38774,202604
20260405,6721400779,13,주영엔에스,주영엔에스 뼈엔 엠비피MBP,207000,4.9,99999,202604
20260405,11146379810,14,락티브,[6개월분] 락티브 식물성 멜라토닌 2mg 함유 멜라드림,90000,4.7,37579,202604
20260405,7738435345,15,고려은단몰,"고려은단 프로바이오틱스 유산균 스페셜핏 100억 유산균 30캡슐, 3개",50900,4.9,38495,202604
20260405,232155349,16,GNM 자연의품격,GNM 조정석 건강한 간 밀크씨슬 5박스(총 5개월분) / 간건강 실리마린 비타민B,35900,4.8,99999,202604
20260405,4989004696,17,조선비책,조선비책 침향환 초고함량 발효 침향 효능 침향단 체내흡수2.5배 침향원 1박스60환,608000,4.9,68095,202604
20260405,7888865954,18,GNM 자연의품격,[종합비타민+밀크씨슬 +루테인+오메가3]GNM 올인원 뉴트리션 멀티비타민 1박스,70000,4.9,39511,202604
20260405,4762660973,19,피에이치365,피에이치365 아기유산균 프로바이오틱스 베이비 돌 유아 아이,45000,4.9,99999,202604
20260405,2386338454,20,GNM 자연의품격,[총 8개월분] GNM 마그네슘05 / 비타민B 5중 복합기능성 셀레늄,59000,4.8,33316,202604
20260405,9396259383,21,고려은단몰,"고려은단 루테인 지아잔틴 아스타잔틴 60캡슐, 3개 (6개월분)",68900,4.9,57157,202604
20260405,4506725608,22,샵인터내셔널,킹 프리미엄 프로바이오틱스 모유 생 유산균 500mg x 60캡슐 2개월분,37000,4.8,99999,202604
20260405,10829472054,23,Soltice,[슈퍼적립] 솔티스 눈 프로텍션 프로S3 3박스 눈 건강,59700,4.7,7458,202604
20260405,438888608,24,GNM 자연의품격,[식물성캡슐] GNM 코엔자임Q10 비타민 미네랄 10종 4박스 / 코큐텐,49900,4.8,80481,202604
20260405,8238403743,25,비타헬스,종근당 비타민d 2000iu 임산부 성인 비타민d3 3개월분,15000,4.9,12659,202604
20260405,9319091551,26,워너비인,[공식판매처] 마가보감 프리미엄 100% 울릉도 마가목 열매 추출물 60mlX60포 박스 마가목즙,349000,4.8,586,202604
20260405,11957648841,27,올록담,올록담 올리브3 EVOO 지중해 올리브오일 캡슐 올리브유 3개월분,324000,4.8,1965,202604
20260405,9901115383,28,고려은단몰,"고려은단 식물성 퓨어 알티지 오메가3 기억력+ 60캡슐, 3개",47900,4.9,65246,202604
20260405,9327855716,29,그레인온,그레인온 골드카무트효소G,75000,4.8,24032,202604
20260405,12370366051,30,뉴트리코어,[4+1] 뉴트리코어 WCS 하이퍼셀 코엔자임Q10 코큐텐,195000,4.8,3056,202604
20260405,8473114714,31,유한양행 본사직영몰,유한양행 엘레나 질유산균 임산부 수유부 프로바이오틱스,115000,4.9,99999,202604
20260405,5159725770,32,GNM 자연의품격,GNM 조정석 루테인 지아잔틴 아스타잔틴 3박스(총 3개월분),79900,4.9,44447,202604
20260405,10556547785,33,정관장브랜드스토어,[네이버단독] 정관장 에브리타임 소프트 10ml 50포,129000,4.9,42895,202604
20260405,5184170043,34,고려은단몰,"고려은단 비타민C 1000 이지+비타민D 180정, 2개 (6개월분)",31900,4.9,99999,202604
20260405,8566190007,35,자재스토어,[1+1]종근당 아임비타 이뮨플러스 2박스 샷 올인원영양제 마시는 액상 비타민,24400,4.9,4561,202604
20260405,12236379753,36,종근당건강,[+멤버십 10%적립] 종근당건강 프로메가 알티지 오메가3 듀얼 비타민D 4000IU,114800,4.9,4783,202604
20260405,9243303137,37,티에스shop,센트룸 실버 포 우먼 종합 멀티 비타민 영양제 112정 비타민B12 대용량,36900,4.8,9598,202604
20260405,12154127416,38,CJ웰케어 스토어,[슈퍼적립 / 6개월분] CJ 바이오코어 500억 보장 부자 화사 유산균 상온보관 프로바이오틱스,388000,4.9,53317,202604
20260405,9953260627,39,뉴트리코어,[5개월] 뉴트리코어 WCS 포스파티딜세린 PS 순도 85% 피에스 수험생 뇌 건강,525000,4.8,18998,202604
20260405,10718647050,40,락티브,[4개월분] 락티브 미오이노시톨 앤 콜린 엽산 비타민c 비타민d,196000,4.9,29429,202604
20260405,5684175077,41,동아제약,멀티비타민 오쏘몰 이뮨 비타민 총 30일분 + 쇼핑백,129000,4.9,79340,202604
20260405,12968163569,42,몸에날씬,퀘르포민정 염증지방배출제,300000,4.6,293,202604
20260405,12275880717,43,헬스네이처스토어,Granny Salad 그래니 샐러드,42900,4.7,2204,202604
20260405,11848200059,44,닥터가,비타도스C 3000 순수 비타민C 고함량 비타민씨 고용량 분말 가루 스틱,180000,4.9,32194,202604
20260405,11585234218,45,고려은단몰,"[네이버 단독]고려은단 메가도스D 비타민D3 4000IU 180정, 2개 (1년분)",37900,4.9,24190,202604
20260405,11574019686,46,우북이,종근당 락토핏 생유산균 골드 150포 5개월분 리뉴얼 50포 x 3통,38170,4.9,2408,202604
20260405,11243018665,47,고려은단몰,"고려은단 퓨어 밀크씨슬 180정, 1개 (6개월분)",32000,4.9,38217,202604
20260405,5579280566,48,GNM 자연의품격,[총 9개월분] GNM 칼슘 마그네슘 아연 비타민D 90정 x 3병 / 칼마디,43900,4.9,55799,202604
20260405,6043695503,49,로킷아메리카,"로킷아메리카 NMN 프테로스틸벤 고순도 엔엠엔, 60캡슐, 3병",267000,4.9,9313,202604
20260405,12337936724,50,고려은단몰,"고려은단 코엔자임Q10 90캡슐, 2개 (6개월분)",37800,4.9,10435,202604
20260405,11122300857,51,블루존 스토어,엔자이메디카 흡수율 9.6배 향상 파이토좀 베르베린 파이토솜 60캡슐 3병,129800,4.8,3251,202604
