date,code,rank,brand,product,price,url,period_ym
20260419,A000000225938,1,고려은단,고려은단 비타민C1000 600정 (20개월분),42900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000225938&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=1,202604
20260419,B000000249743,2,오쏘몰,[임박특가] 오쏘몰 이뮨 멀티비타민&미네랄 7개입*2박스 (14일분),34900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000249743&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=2,202604
20260419,A000000248462,3,바이탈뷰티,[4월 올영픽/리뉴얼] 바이탈뷰티 메타그린 슬림업 단품/리필/기획 (+5일 증정),24900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000248462&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=3,202604
20260419,A000000175634,4,푸드올로지,[4월 올영픽/헬로키티콜라보] 콜레올로지 PRO 600mg*30/60정 단품/기획(+키링증정),17900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000175634&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=4,202604
20260419,A000000188804,5,오니스트,[4월 올영픽] 오니스트 트리플콜라겐 오렌지 14일 루틴 단품/기획(+2포),28900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000188804&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=5,202604
20260419,A000000183645,6,푸드올로지,[4월 올영픽/헬로키티콜라보] 콜레올로지 컷팅 젤리 단품/기획(+파우치 증정) 레몬/키위/석류,18800,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183645&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=6,202604
20260419,A000000180121,7,생활약속,[4월 올영픽] 생활약속 기분전환 알파플러스 10포 (+1포 증정기획),14500,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000180121&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=7,202604
20260419,A000000241581,8,바이탈뷰티,[4월 올영픽] 바이탈뷰티 메타그린 부스터샷 7개입 단품/기획(+1일분),19600,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000241581&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=8,202604
20260419,A000000204000,9,오니스트,[4월 올영픽] 오니스트 트리플샤인 포도 14일+2일 루틴 단품/기획,26900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000204000&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=9,202604
20260419,A000000229934,10,푸드올로지,[4월 올영픽/이은지Pick] 콜레올로지 컷 다이어트 유산균 14/20캡슐 (7/10일분),18100,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000229934&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=10,202604
20260419,A000000229021,11,히말라야,히말라야 파티스마트 저당 츄 [베리맛] 10P,15000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000229021&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=11,202604
20260419,A000000244912,12,탄탄,[혼합증정기획] 탄탄 더블컷 다이어트젤리 14포+2포 기획 택1,16900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000244912&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=12,202604
20260419,A000000205496,13,프로뉴트리션,프로뉴트리션 듀얼플랜 다이어트 유산균 14포,35800,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000205496&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=13,202604
20260419,A000000193086,14,오쏘몰,오쏘몰 이뮨 멀티비타민&미네랄 14입 단품/기획 (14일분),59900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000193086&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=14,202604
20260419,A000000245977,15,퓨레카,[앨리스펑크PICK/4월 올영픽] 퓨레카 그린즈 워터믹스 7포 4종/크런치 2종 택 1 (마시는 3초 샐러드),9900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000245977&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=15,202604
20260419,A000000247265,16,뉴오리진,[호빵맨콜라보] 이너플로라 질유산균 60캡슐+호빵맨 스티커,35900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000247265&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=16,202604
20260419,A000000142695,17,오쏘몰,오쏘몰 이뮨 멀티비타민&미네랄 7입(+1입) 단품/기획,38000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000142695&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=17,202604
20260419,A000000246134,18,바이오렉트라,바이오렉트라 마그네슘 400 울트라 다이렉트,30450,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000246134&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=18,202604
20260419,A000000244929,19,지노마스터,지노마스터 질유산균 30캡슐 기획(+2일분 증정) (32일분) (OY단독),27400,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000244929&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=19,202604
20260419,A000000244985,20,비비랩,비비랩 저분자콜라겐 S 30포 단품/기획 (+10포 증정 기획)(40일분)(OY단독)(26.02),16900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000244985&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=20,202604
20260419,B000000172735,21,비에날씬,BNR17 다이어트유산균 비에날씬 60캡슐*6박스 (6개월분),339000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000172735&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=21,202604
20260419,A000000204864,22,푸드올로지,[서현PICK] 콜레올로지 컷팅 젤리 30포 (1개월분),46500,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000204864&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=22,202604
20260419,A000000170108,23,푸드올로지,[서현PICK] 콜레올로지 버닝올로지 디데이 3.8g*5포 (5일분),16500,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000170108&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=23,202604
20260419,A000000226999,24,푸드올로지,[서현PICK] 콜레올로지 PRO 600mg*60정 (1개월분),31900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000226999&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=24,202604
20260419,A000000206861,25,덴프스,덴마크 유산균이야기 30캡슐 1+1기획(60일분) +트루바이타민 3포 증정,40000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000206861&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=25,202604
20260419,A000000245874,26,올더베러,올더베러 웰니스 구미 30일분 6종 택1,9900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000245874&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=26,202604
20260419,A000000233810,27,슬로우글로우,[구미 추가 증정] 슬로우글로우 다이어트 유산균 30캡슐 (1개월분),22190,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000233810&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=27,202604
20260419,A000000241378,28,오니스트,[4월 올영픽] 오니스트 케라그로우 망고 14일 루틴 단품/기획(+2포),26400,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000241378&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=28,202604
20260419,A000000236755,29,코자아,코자아 식물성 멜라토닌 함유 젤리/드링크 (단품/기획),36000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000236755&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=29,202604
20260419,A000000225470,30,이너랩,[올영단독] 셀트리온 위고잇 30정 기획 (+5정 증정),18900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000225470&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=30,202604
20260419,A000000150476,31,세노비스,세노비스 루테인+오메가3 80캡슐 (+10캡슐 증정기획) (45일분),29000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000150476&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=31,202604
20260419,A000000249509,32,지노마스터,[올영단독] 지노마스터 질유산균 70캡슐 (70일분),59000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000249509&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=32,202604
20260419,A000000247861,33,씨제이웰케어,[골라담기] CJ웰케어 건강루틴 가격혁명 10종 택 1,6900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000247861&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=33,202604
20260419,A000000218073,34,닥터아돌,[품절대란] 닥터아돌 카테킨 아세로라 바베이도스 체리C D 60정 / 히카바이오틱스 위디어트 21포,38000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000218073&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=34,202604
20260419,A000000223554,35,멜라메이트,식물성 멜라토닌 함유 멜라메이트 구미/로우슈가 구미 20구미,8900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223554&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=35,202604
20260419,A000000186058,36,grn+,[4월 올영픽] grn+ 분홍이(105정)+초록이(70정) 기획세트 (35일분),26900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000186058&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=36,202604
20260419,A000000247884,37,대원제약,[올영단독/수면 효율증가]대원제약 대원헬스 꿀잠샷 20gX12포 (12일분),20500,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000247884&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=37,202604
20260419,A000000240638,38,락토핏,[올영단독] 락토핏 골드 30포 트리플 기획 (+볼펜 증정) (3개월분),22900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000240638&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=38,202604
20260419,A000000249190,39,온리추얼,[NS윤지 PICK] 온리추얼 리셋 브이라인 7포 (+1포 증정) (8일분),18900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000249190&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=39,202604
20260419,A000000200143,40,바이오코어유산균,CJ 바이오코어 피부면역유산균 100억 30+10포 / 30캡슐,13950,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000200143&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=40,202604
20260419,A000000209512,41,지노마스터,지노마스터 퀵 질유산균 1개월분 (30포),31900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000209512&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=41,202604
20260419,A000000164736,42,고려은단,고려은단 비타민C1000 이지+비타민D 120정 (60일분),10900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000164736&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=42,202604
20260419,B000000155805,43,비에날씬,BNR17 다이어트유산균 비에날씬플러스 30포x3박스 (3개월분),176200,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000155805&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=43,202604
20260419,A000000246070,44,바이오렉트라,바이오렉트라 비타민B 컴플렉스 20포 (20일분),57420,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000246070&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=44,202604
20260419,A000000224309,45,아임비타,아임비타 멀티비타민 아르기닌샷 1포,3500,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224309&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=45,202604
20260419,A000000237481,46,헬스헬퍼,헬스헬퍼 맥스컷 프로 크롬 120캡슐 (20일분),42000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000237481&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=46,202604
20260419,A000000227334,47,판도라,판도라 브이트리티 7/14포 (7/14일분),26900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000227334&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=47,202604
20260419,A000000179239,48,바이오코어유산균,CJ 바이오코어 건강한 생유산균 100억 30포+10포 기획 (40일분),16900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000179239&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=48,202604
20260419,A000000002944,49,고려은단,고려은단 비타민C1000 120정 (4개월분),15000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000002944&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=49,202604
20260419,A000000224239,50,CJ이너비,[콜라겐] CJ 이너비 글로우앰플 6병 (6일분),7500,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224239&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=50,202604
20260419,A000000222360,51,엔젯오리진,[15구미 증정기획] 엔젯오리진 귤젤리 비타민 C&D 70구미 X 밸리곰 패키지,11900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000222360&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=51,202604
20260419,A000000167747,52,비에날씬,BNR17 다이어트 유산균 비에날씬 슬림+ 14포 (2주분),27930,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000167747&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=52,202604
20260419,A000000247570,53,온리추얼,온리추얼 글로우업 콜라겐 7포 (+1포 증정) (8일분),18900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000247570&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=53,202604
20260419,A000000225001,54,정관장,[올영단독] 정관장X유미의세포들 에브리타임 세븐베리/배/한라봉 플레이버 7포 단독기획,15600,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000225001&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=54,202604
20260419,A000000172122,55,아일로,[아이린 Pick] 아일로 타입1 콜라겐 비오틴 앰플 8+2/28입 (10/28일분),23900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000172122&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=55,202604
20260419,A000000211956,56,그레인온,[단독기획]그레인온 골드카무트효소 30포+5포 증정 기획 (35일분),17500,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000211956&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=56,202604
20260419,A000000173903,57,종근당건강,종근당건강 프로메가 오메가3 트리플 60캡슐 (장용성) (1개월분),12900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000173903&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=57,202604
20260419,A000000207974,58,오쏘몰,오쏘몰 이뮨 멀티비타민&미네랄 30입 (1개월분),129000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000207974&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=58,202604
20260419,A000000230839,59,뉴트리코어,뉴트리코어 관절연골엔 철갑상어 뮤코다당단백 콘드로이친 K 2종 택1 (1개월/5개월분),63590,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000230839&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=59,202604
20260419,A000000246049,60,바이오렉트라,바이오렉트라 아연+셀레늄 5050mg 20포 (20일분),61380,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000246049&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=60,202604
20260419,A000000008807,61,세노비스,세노비스 마그네슘 90정 (3개월분),18900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000008807&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=61,202604
20260419,A000000180747,62,푸드올로지,"[서현PICK]콜레올로지 버닝올로지 티 7,000mg*15포 (15일분)",28900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000180747&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=62,202604
20260419,A000000225986,63,닥터린,닥터린 독일산 맥주효모 비오틴 15000 맥스 60정 (2개월분),17910,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000225986&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=63,202604
20260419,A000000224935,64,아일로,[아이린 Pick]아일로 마그번 코어컷 앰플 7일분 (체지방감소),12900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224935&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=64,202604
20260419,A000000202658,65,덴프스,[덴프스X카카오프렌즈] 덴마크 유산균이야기 우먼 2개월분(질유산균) + 키링 증정,52000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000202658&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=65,202604
20260419,A000000208183,66,푸드올로지,맨올로지 컷 PRO 800mg*40정/80정 택 1,19500,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000208183&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=66,202604
20260419,A000000186592,67,에버콜라겐,에버콜라겐 인앤업비오틴 셀 56정 (28일분),24500,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000186592&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=67,202604
20260419,A000000201188,68,고려은단,고려은단 식물성 알티지 오메가3 30캡슐 (30일분),9900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000201188&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=68,202604
20260419,A000000218546,69,멜라메이트,식물성 멜라토닌 함유 멜라메이트 구미 (20/50구미),8900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000218546&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=69,202604
20260419,A000000227277,70,에스더포뮬러,[국민영양] 여에스더 멀티비타민 미네랄 30정 (1개월분),9700,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000227277&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=70,202604
20260419,A000000189370,71,마그랩,[단독기획] 마그랩 포 스트레스 10+2입 선물세트 / 10개입(+10개입 더블기획),23900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000189370&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=71,202604
20260419,A000000232124,72,델시,[OY단독] 델시 파이토 샐러드 앰플 4병 기획 (+1병 증정) (5일분),12730,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000232124&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=72,202604
20260419,A000000226014,73,비비랩,[차학연 PICK] 비비랩 콜라겐 젤리 (석류콜라겐/콜라겐 탱글 업),17900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000226014&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=73,202604
20260419,A000000172168,74,그린몬스터,[50억 보장] 그린몬스터 이너블라썸 질 유래 유산균 30캡슐 (1개월분),17640,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000172168&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=74,202604
20260419,A000000210590,75,정관장,정관장 활기력 부스터(20m*14병),46550,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000210590&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=75,202604
20260419,A000000246062,76,바이오렉트라,바이오렉트라 칼슘 다이렉트 30포 (1개월분),46500,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000246062&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=76,202604
20260419,A000000171566,77,락토핏,락토핏 솔루션2 (예민한 장) (30일분),29900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171566&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=77,202604
20260419,A000000243875,78,나티아,나티아 PDRN 다이렉트 30매 (1개월분),29900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000243875&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=78,202604
